osm_id,nazov,nazov_norm,okres,kraj,typ,lon,lat
26036491,Kolačno,kolacno,Partizánske,Trenčiansky,village,18.43338,48.599908
26036492,Osádka,osadka,Dolný Kubín,Žilinský,hamlet,19.383333,49.183333
26036493,Orechová,orechova,Sobrance,Košický,village,22.233333,48.7
26036494,Dolný Kalník,dolny kalnik,Martin,Žilinský,hamlet,18.966065,49.046114
26036495,Diaková,diakova,Martin,Žilinský,village,18.966409,49.049887
26036496,Blatnica,blatnica,Martin,Žilinský,village,18.926049,48.938528
26036497,Čifáre,cifare,Nitra,Nitriansky,village,18.393937,48.232464
26036498,Kolibabovce,kolibabovce,Sobrance,Košický,hamlet,22.266667,48.716667
26036499,Bušince,busince,Veľký Krtíš,Banskobystrický,village,19.500255,48.173247
26036500,Malé Uherce,male uherce,Partizánske,Trenčiansky,village,18.400823,48.617831
26036501,Poproč,poproc,Košice - okolie,Košický,hamlet,20.976843,48.711448
26036502,Kuzmice,kuzmice,Trebišov,Košický,village,21.566946,48.582562
26036503,Bánovce nad Ondavou,banovce nad ondavou,Michalovce,Košický,village,21.816667,48.683333
26036504,Breza,breza,Námestovo,Žilinský,village,19.4,49.383333
26036505,Nižné Ružbachy,nizne ruzbachy,Stará Ľubovňa,Prešovský,village,20.583333,49.283333
26036506,Ptičie,pticie,Humenné,Prešovský,village,21.958319,48.904881
26036507,Rudno nad Hronom,rudno nad hronom,Žarnovica,Banskobystrický,village,18.684473,48.430543
