id,producent_id,druh_odpadu_id,t_rok_min,t_rok_stred,t_rok_max,metoda,uroven_dokazu
272,994,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
273,995,77,1.257,1.536,2.234,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,C
274,1002,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
275,1005,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
276,1006,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
277,1007,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
278,1008,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
279,1011,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
280,1013,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
281,1023,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
282,1025,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
283,1029,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
284,1039,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
285,1040,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
286,1041,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
287,1042,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
288,1043,77,1.932,2.362,3.435,kapacita × podiel stravníkov × jedál za deň × koeficient × dní v roku,B
